customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,product_category_name_english
2f1d78af6de0800385a0cc5cf4b7a794,6d107617e509701446292309521f1c22,14810.0,araraquara,SP,14810.0,-21.78243154427066,-48.16171723769106,araraquara,SP,2e571b4487c7119502acdb48043efcee,delivered,2017-12-03 15:57:22,2017-12-05 04:12:10,2017-12-06 18:58:57,2017-12-15 22:47:41,2017-12-27 00:00:00,1.0,69d3ff4f45d52d69e4b06760e0e154e2,7b0df942f46435babab05d49b744b2c4,2017-12-11 04:12:10,1058.0,20.43,1.0,boleto,1.0,1078.43,instrumentos_musicais,63.0,3893.0,1.0,1250.0,26.0,6.0,26.0,12924.0,braganca paulista,SP,musical_instruments
a26ee55d980bbbb84838b5ed8347f253,f5f1eca285d9b24b23ab0e538ea9d6b9,29060.0,vitoria,ES,29060.0,-20.27993150652087,-40.29871289260764,vitoria,ES,a9e698f2944fc17e406c624bf2ce9067,delivered,2017-04-04 21:00:40,2017-04-04 21:10:17,2017-04-05 13:34:53,2017-04-11 17:10:33,2017-05-03 00:00:00,1.0,70ef02956d1b9d6a8b1aa4f7b206e210,218d46b86c1881d022bce9c68a7d4b15,2017-04-11 21:10:17,107.0,16.45,1.0,credit_card,1.0,123.45,esporte_lazer,38.0,1460.0,1.0,1700.0,17.0,29.0,22.0,14070.0,ribeirao preto,SP,sports_leisure
2957526f1a463e562eec69de762ba7d5,e3be13092b553069f2abb388c33954fb,4313.0,sao paulo,SP,4313.0,-23.64197338190317,-46.64081498320735,são paulo,SP,518e50004c3dded8e8a25b96b47d116a,delivered,2017-05-31 19:59:58,2017-05-31 20:10:17,2017-06-01 14:48:51,2017-06-06 07:16:47,2017-06-21 00:00:00,1.0,65ce839c7967ed73e05471cbd4cb2ec1,2009a095de2a2a41626f6c6d7722678d,2017-06-06 20:10:17,36.9,11.85,1.0,credit_card,3.0,48.75,informatica_acessorios,59.0,359.0,4.0,900.0,31.0,13.0,26.0,15025.0,sao jose do rio preto,SP,computers_accessories
acf6a22037e1d79fb496b269a5490e8e,bfda5195f9ed986ba717ba3660c0c104,28470.0,santo antonio de padua,RJ,28470.0,-21.534098072525943,-42.191535302116165,santo antonio de padua,RJ,3126f9033bb01e9ee608943fe2f1202a,delivered,2017-12-14 21:35:29,2017-12-14 21:50:26,2017-12-16 03:53:07,2018-01-05 18:22:47,2018-01-12 00:00:00,1.0,4413a608a42bd21bbf9d5abbd58c249a,7ddcbb64b5bc1ef36ca8c151f6ec77df,2017-12-20 21:50:26,166.99,21.66,1.0,credit_card,10.0,188.65,cool_stuff,57.0,1620.0,1.0,2350.0,16.0,40.0,16.0,4403.0,sao paulo,SP,cool_stuff
ff015a148d2b336072bf54576da83d33,a1e1f1d0d69ed4b80531ab93633474be,20260.0,rio de janeiro,RJ,20260.0,-22.925192007501813,-43.219388609210014,rio de janeiro,RJ,14926491946bbf88760be070f0644227,delivered,2018-01-26 13:31:18,2018-01-29 12:52:07,2018-01-30 19:56:25,2018-02-08 19:38:58,2018-02-22 00:00:00,1.0,ba74c6b75d2ad7503175809688d5a03c,b33e7c55446eabf8fe1a42d037ac7d6d,2018-02-02 12:52:07,190.83,16.09,1.0,credit_card,8.0,206.92,relogios_presentes,59.0,1088.0,2.0,292.0,17.0,8.0,12.0,14850.0,pradopolis,SP,watches_gifts
836412a7480f992a78eac1f218ed9846,e4e1f072d31f718baefc30c06b3421e6,4716.0,sao paulo,SP,4716.0,-23.636499126960143,-46.709377108026445,sao paulo,SP,d04405124d1f94b23ab269ee4ca24058,delivered,2017-10-24 22:25:24,2017-10-26 02:57:14,2017-10-26 19:59:50,2017-10-27 16:12:59,2017-11-17 00:00:00,1.0,1ec486885049bbb9b79351d150ed18c4,cab85505710c7cb9b720bceb52b01cee,2017-11-01 02:57:14,49.9,7.78,1.0,boleto,1.0,57.68,fashion_bolsas_e_acessorios,36.0,412.0,5.0,100.0,16.0,5.0,20.0,2252.0,sao paulo,SP,fashion_bags_accessories
e69ab9cf8dd76405e89146add494fa1a,426a331f0b556105818440e3a1daac73,14405.0,franca,SP,14405.0,-20.532831709631814,-47.41758817514091,franca,SP,33461765475580d8fa316d298bfdf86d,delivered,2018-04-22 13:10:52,2018-04-24 18:29:08,2018-04-26 13:19:00,2018-04-30 21:58:24,2018-05-15 00:00:00,1.0,437c05a395e9e47f9762e677a7068ce7,7f7b8245c336066a1f9933c359f11d77,2018-04-30 13:31:22,53.5,12.81,1.0,credit_card,2.0,66.31,beleza_saude,40.0,409.0,1.0,1110.0,19.0,11.0,18.0,13800.0,mogi mirim,SP,health_beauty
85546bbf5243e477ca238fa6d21cff49,1749db9f95e81a2f53bad2ea9e405b6b,80320.0,curitiba,PR,80320.0,-25.46184574633615,-49.30140335269144,curitiba,PR,6537332794df2373bdf9142f7e6c33bd,delivered,2017-05-17 13:57:00,2017-05-17 14:10:11,2017-05-22 10:36:02,2017-05-29 14:39:49,2017-06-08 00:00:00,1.0,c54ed8ea69e24c191fbc23b3234c6b32,c8e135e7b21ecbc36c1153a29d2f5a06,2017-05-23 14:10:11,239.8,17.93,1.0,credit_card,6.0,257.73,beleza_saude,37.0,904.0,1.0,413.0,17.0,13.0,12.0,1411.0,sao paulo,SP,health_beauty
884dc0362088b9f64d64ae88bd7c0b56,bd2b3678a31c7acff94791bd2ffce860,12236.0,sao jose dos campos,SP,12236.0,-23.249723448237063,-45.898173959057104,sao jose dos campos,SP,5908b5d4980d0d7dc2af4e0b324080b8,delivered,2017-11-09 22:46:03,2017-11-09 23:07:03,2017-11-10 20:08:58,2017-11-20 21:41:22,2017-12-01 00:00:00,1.0,e6d3e381889aa6e9d222ad50cb30ac43,4869f7a5dfa277a7dca6462dcf3b52b2,2017-11-20 23:06:33,210.9,13.82,1.0,credit_card,5.0,224.72,relogios_presentes,36.0,617.0,2.0,480.0,18.0,11.0,14.0,14840.0,guariba,SP,watches_gifts
a9c9fc2ca98560e072e73177c7046e7e,fdce3a41e2e35d86665f92a3e8c8db65,1223.0,sao paulo,SP,1223.0,-23.54385346378897,-46.64723369608748,sao paulo,SP,607a53a5c5210e129c689ecfb2c1897b,delivered,2018-01-31 18:02:38,2018-02-02 02:54:01,2018-02-05 16:22:54,2018-02-10 14:33:20,2018-02-22 00:00:00,1.0,878c61936b5c51f321ac165750d97a0b,6a8b085f816a1f75f92dbac6eb545f8f,2018-02-08 02:54:01,16.9,11.85,1.0,boleto,1.0,28.75,automotivo,58.0,300.0,3.0,88.0,21.0,11.0,15.0,14709.0,bebedouro,SP,auto
